Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS069-24-ITS2-4_S207_L001_R2_001	(1.0, 5.67110371602884)	(2.0, 1.622296173044925)	(3.0, 1.0295341098169717)	(4.0, 0.7210205213533)	(5.0, 0.6412922906267332)	(6.0, 0.5199667221297837)	(7.0, 0.6794231835829173)	(8.0, 0.5546311702717693)	(9.0, 0.43677204658901825)	('>10', 7.276067665002774)	('>50', 2.949944536882973)	('>100', 13.415141430948418)	('>500', 13.664725457570714)	('>1k', 50.81808097615086)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-5_S211_L001_R1_001	(1.0, 4.458055276228784)	(2.0, 1.6454886187037208)	(3.0, 0.932443550598775)	(4.0, 0.8532163208093366)	(5.0, 0.5637322119633117)	(6.0, 0.7130450681049456)	(7.0, 0.511929792485602)	(8.0, 0.5606850108175641)	(9.0, 0.4662217752993875)	('>10', 10.116707803882134)	('>50', 6.807447359600208)	('>100', 20.035347533290672)	('>500', 15.452357010086235)	('>1k', 36.883322668129324)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-5_S211_L001_R2_001	(1.0, 5.2472803729774204)	(2.0, 1.6211110095377395)	(3.0, 1.014717981533961)	(4.0, 0.6703842520644787)	(5.0, 0.5180241947770973)	(6.0, 0.603345826858031)	(7.0, 0.40527775238443486)	(8.0, 0.39004174665569674)	(9.0, 0.3016729134290155)	('>10', 7.593625255203095)	('>50', 2.8430386689825395)	('>100', 14.800255964896241)	('>500', 15.266477740195631)	('>1k', 48.724746320504615)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-6_S215_L001_R1_001	(1.0, 4.946585447978205)	(2.0, 1.995775811931801)	(3.0, 1.138694174905874)	(4.0, 0.9060577305702654)	(5.0, 0.6887263154672626)	(6.0, 0.42241880681992106)	(7.0, 0.514248982215556)	(8.0, 0.514248982215556)	(9.0, 0.6336282102298816)	('>10', 9.39422694297346)	('>50', 7.453549236279041)	('>100', 20.37711592029141)	('>500', 17.034497535890296)	('>1k', 33.980225902231474)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-6_S215_L001_R2_001	(1.0, 5.883253237013682)	(2.0, 1.8059934494474885)	(3.0, 0.899935718877223)	(4.0, 0.881569683798096)	(5.0, 0.6887263154672626)	(6.0, 0.606079157611191)	(7.0, 0.4071137775873152)	(8.0, 0.36732070158254004)	(9.0, 0.41323578928035753)	('>10', 7.187241727631699)	('>50', 2.7579662677155716)	('>100', 16.28455110349261)	('>500', 8.613670452110563)	('>1k', 53.2033426183844)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-7_S220_L001_R1_001	(1.0, 4.21379593271992)	(2.0, 1.6175350172888705)	(3.0, 0.9845865322627908)	(4.0, 0.7384398991970931)	(5.0, 0.747230850378011)	(6.0, 0.4922932661313954)	(7.0, 0.5538299243978199)	(8.0, 0.46885072964894803)	(9.0, 0.4483385102268065)	('>10', 8.805602766219305)	('>50', 4.3339389321924635)	('>100', 24.453495868252944)	('>500', 7.352165504307566)	('>1k', 44.78989626677606)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-7_S220_L001_R2_001	(1.0, 4.706089198851315)	(2.0, 1.3538064818613373)	(3.0, 0.8790951180917775)	(4.0, 0.6212272167848562)	(5.0, 0.42489597374435917)	(6.0, 0.4922932661313954)	(7.0, 0.36921994959854654)	(8.0, 0.2813104377893688)	(9.0, 0.3428470960557933)	('>10', 6.836429701693723)	('>50', 3.8504366172419853)	('>100', 14.739494813338801)	('>500', 3.533962374728946)	('>1k', 30.11486842876399)	('>5k', 31.4540233253238)	('>10k+', 0.0)
NGS069-24-ITS2-8_S225_L001_R1_001	(1.0, 4.135470443549477)	(2.0, 1.551477146795686)	(3.0, 0.8027677919831339)	(4.0, 0.7676298078222559)	(5.0, 0.5811281995837501)	(6.0, 0.5351785279887559)	(7.0, 0.4540908722328837)	(8.0, 0.4540908722328837)	(9.0, 0.3162418574479012)	('>10', 8.065518825850743)	('>50', 5.297726842716977)	('>100', 20.750331107927668)	('>500', 3.0299754034110875)	('>1k', 53.25837230045679)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-8_S225_L001_R2_001	(1.0, 4.730113252425872)	(2.0, 1.502824553342163)	(3.0, 0.9730518690704651)	(4.0, 0.6270778711787443)	(5.0, 0.5000405438278779)	(6.0, 0.29191556072113956)	(7.0, 0.5108522312619942)	(8.0, 0.34597399789172095)	(9.0, 0.29191556072113956)	('>10', 6.603238100386517)	('>50', 3.935454226018326)	('>100', 11.76852177203557)	('>500', 7.433035110954942)	('>1k', 60.48598535016353)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-9_S193_L001_R1_001	(1.0, 4.644311899912715)	(2.0, 1.6947919697410532)	(3.0, 1.1237998254291532)	(4.0, 0.6400931044515566)	(5.0, 0.6182717486179808)	(6.0, 0.5891766075065464)	(7.0, 0.4837067209775967)	(8.0, 0.4946173988943846)	(9.0, 0.2945883037532732)	('>10', 8.946755891766076)	('>50', 6.270002909514111)	('>100', 29.24425370963049)	('>500', 4.920715740471341)	('>1k', 40.034914169333724)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-9_S193_L001_R2_001	(1.0, 5.069828338667443)	(2.0, 1.8257201047425078)	(3.0, 1.1128891475123655)	(4.0, 0.7710212394530114)	(5.0, 0.6364562118126273)	(6.0, 0.5455338958393948)	(7.0, 0.40733197556008144)	(8.0, 0.3782368344486471)	(9.0, 0.2618562700029095)	('>10', 7.299243526331102)	('>50', 4.004218795461158)	('>100', 17.711667151585686)	('>500', 3.9023858015711377)	('>1k', 56.07361070701194)	('>5k', 0.0)	('>10k+', 0.0)
