Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS069-24-ITS2-2_S197_L001_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 12.0)	(19.0, 36.0)	(20.0, 79.0)	(21.0, 104.0)	(22.0, 135.0)	(23.0, 187.0)	(24.0, 241.0)	(25.0, 313.0)	(26.0, 386.0)	(27.0, 463.0)	(28.0, 526.0)	(29.0, 681.0)	(30.0, 924.0)	(31.0, 1218.0)	(32.0, 1607.0)	(33.0, 2283.0)	(34.0, 3393.0)	(35.0, 5259.0)	(36.0, 8261.0)	(37.0, 6267.0)
NGS069-24-ITS2-2_S197_L001_R2_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 5.0)	(9.0, 3.0)	(10.0, 1.0)	(11.0, 12.0)	(12.0, 63.0)	(13.0, 64.0)	(14.0, 68.0)	(15.0, 67.0)	(16.0, 63.0)	(17.0, 46.0)	(18.0, 71.0)	(19.0, 173.0)	(20.0, 181.0)	(21.0, 186.0)	(22.0, 212.0)	(23.0, 282.0)	(24.0, 334.0)	(25.0, 447.0)	(26.0, 644.0)	(27.0, 978.0)	(28.0, 1440.0)	(29.0, 2091.0)	(30.0, 3065.0)	(31.0, 4042.0)	(32.0, 4722.0)	(33.0, 4736.0)	(34.0, 4319.0)	(35.0, 3169.0)	(36.0, 861.0)	(37.0, 25.0)
NGS069-24-ITS2-3_S202_L001_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 10.0)	(19.0, 25.0)	(20.0, 53.0)	(21.0, 90.0)	(22.0, 126.0)	(23.0, 200.0)	(24.0, 207.0)	(25.0, 269.0)	(26.0, 339.0)	(27.0, 406.0)	(28.0, 516.0)	(29.0, 665.0)	(30.0, 865.0)	(31.0, 1170.0)	(32.0, 1559.0)	(33.0, 2309.0)	(34.0, 3387.0)	(35.0, 5037.0)	(36.0, 7912.0)	(37.0, 5649.0)
NGS069-24-ITS2-3_S202_L001_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 4.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 9.0)	(12.0, 55.0)	(13.0, 78.0)	(14.0, 55.0)	(15.0, 71.0)	(16.0, 48.0)	(17.0, 45.0)	(18.0, 70.0)	(19.0, 130.0)	(20.0, 179.0)	(21.0, 184.0)	(22.0, 226.0)	(23.0, 248.0)	(24.0, 341.0)	(25.0, 402.0)	(26.0, 615.0)	(27.0, 895.0)	(28.0, 1367.0)	(29.0, 2168.0)	(30.0, 2953.0)	(31.0, 3809.0)	(32.0, 4541.0)	(33.0, 4486.0)	(34.0, 4197.0)	(35.0, 2824.0)	(36.0, 762.0)	(37.0, 28.0)
NGS069-24-ITS2-4_S207_L001_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 20.0)	(20.0, 47.0)	(21.0, 66.0)	(22.0, 96.0)	(23.0, 142.0)	(24.0, 180.0)	(25.0, 269.0)	(26.0, 306.0)	(27.0, 355.0)	(28.0, 401.0)	(29.0, 498.0)	(30.0, 654.0)	(31.0, 868.0)	(32.0, 1296.0)	(33.0, 1610.0)	(34.0, 2714.0)	(35.0, 4302.0)	(36.0, 7563.0)	(37.0, 7438.0)
NGS069-24-ITS2-4_S207_L001_R2_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 4.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 9.0)	(12.0, 57.0)	(13.0, 71.0)	(14.0, 84.0)	(15.0, 70.0)	(16.0, 76.0)	(17.0, 36.0)	(18.0, 58.0)	(19.0, 109.0)	(20.0, 184.0)	(21.0, 199.0)	(22.0, 257.0)	(23.0, 290.0)	(24.0, 383.0)	(25.0, 506.0)	(26.0, 679.0)	(27.0, 1040.0)	(28.0, 1483.0)	(29.0, 2060.0)	(30.0, 2764.0)	(31.0, 3530.0)	(32.0, 3760.0)	(33.0, 3791.0)	(34.0, 3662.0)	(35.0, 2662.0)	(36.0, 969.0)	(37.0, 39.0)
NGS069-24-ITS2-5_S211_L001_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 19.0)	(20.0, 51.0)	(21.0, 85.0)	(22.0, 127.0)	(23.0, 148.0)	(24.0, 217.0)	(25.0, 286.0)	(26.0, 422.0)	(27.0, 364.0)	(28.0, 409.0)	(29.0, 545.0)	(30.0, 659.0)	(31.0, 948.0)	(32.0, 1220.0)	(33.0, 1790.0)	(34.0, 2751.0)	(35.0, 4610.0)	(36.0, 8622.0)	(37.0, 9533.0)
NGS069-24-ITS2-5_S211_L001_R2_001	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 7.0)	(11.0, 8.0)	(12.0, 55.0)	(13.0, 64.0)	(14.0, 73.0)	(15.0, 84.0)	(16.0, 90.0)	(17.0, 37.0)	(18.0, 59.0)	(19.0, 106.0)	(20.0, 165.0)	(21.0, 207.0)	(22.0, 231.0)	(23.0, 262.0)	(24.0, 380.0)	(25.0, 487.0)	(26.0, 639.0)	(27.0, 939.0)	(28.0, 1343.0)	(29.0, 1970.0)	(30.0, 2753.0)	(31.0, 3702.0)	(32.0, 4421.0)	(33.0, 4540.0)	(34.0, 4551.0)	(35.0, 3739.0)	(36.0, 1814.0)	(37.0, 76.0)
NGS069-24-ITS2-6_S215_L001_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 9.0)	(19.0, 27.0)	(20.0, 59.0)	(21.0, 109.0)	(22.0, 113.0)	(23.0, 155.0)	(24.0, 221.0)	(25.0, 327.0)	(26.0, 361.0)	(27.0, 419.0)	(28.0, 480.0)	(29.0, 629.0)	(30.0, 786.0)	(31.0, 1064.0)	(32.0, 1478.0)	(33.0, 2038.0)	(34.0, 3059.0)	(35.0, 4970.0)	(36.0, 8518.0)	(37.0, 7841.0)
NGS069-24-ITS2-6_S215_L001_R2_001	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 3.0)	(9.0, 5.0)	(10.0, 1.0)	(11.0, 12.0)	(12.0, 60.0)	(13.0, 72.0)	(14.0, 84.0)	(15.0, 86.0)	(16.0, 79.0)	(17.0, 36.0)	(18.0, 69.0)	(19.0, 158.0)	(20.0, 181.0)	(21.0, 230.0)	(22.0, 257.0)	(23.0, 289.0)	(24.0, 398.0)	(25.0, 490.0)	(26.0, 739.0)	(27.0, 1015.0)	(28.0, 1424.0)	(29.0, 2021.0)	(30.0, 2839.0)	(31.0, 3642.0)	(32.0, 4176.0)	(33.0, 4374.0)	(34.0, 4576.0)	(35.0, 3695.0)	(36.0, 1574.0)	(37.0, 70.0)
