Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS069-23_18S_35_S89_L001_R2_001	(1.0, 5.816872203426826)	(2.0, 1.3270762850594784)	(3.0, 0.7792207792207793)	(4.0, 0.5936920222634509)	(5.0, 0.5565862708719851)	(6.0, 0.5500381970970206)	(7.0, 0.32085561497326204)	(8.0, 0.38415366146458585)	(9.0, 0.2946633198734039)	('>10', 4.452690166975881)	('>50', 2.9466331987340393)	('>100', 5.834333733493398)	('>500', 4.592382407508458)	('>1k', 22.374768089053802)	('>5k', 0.0)	('>10k+', 49.17603404998363)
NGS069-23_18S_36_S94_L001_R1_001	(1.0, 0.853136936483612)	(2.0, 0.3339356373367489)	(3.0, 0.26074426476979023)	(4.0, 0.2653187255552252)	(5.0, 0.17154227945380937)	(6.0, 0.23329750005718075)	(7.0, 0.11207428924315545)	(8.0, 0.12808490199217767)	(9.0, 0.041170147068914247)	('>10', 2.154571029939846)	('>50', 0.7753711031312184)	('>100', 6.248713432904096)	('>500', 1.4501040689828688)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 86.97193568308136)
NGS069-23_18S_36_S94_L001_R2_001	(1.0, 6.036001006381373)	(2.0, 1.587337892545916)	(3.0, 0.8439880149127421)	(4.0, 0.5763820589647995)	(5.0, 0.5260629903250155)	(6.0, 0.5626586766084948)	(7.0, 0.4002653187255552)	(8.0, 0.274467647126095)	(9.0, 0.3499462500857711)	('>10', 5.628873996477665)	('>50', 2.3718579172480045)	('>100', 10.967269733080213)	('>500', 1.4135083826993893)	('>1k', 30.690057409482858)	('>5k', 37.77132270533611)	('>10k+', 0.0)
NGS069-24-18S-1_S1_L001_R1_001	(1.0, 0.5463445444497079)	(2.0, 0.26317174588136216)	(3.0, 0.1294804989736302)	(4.0, 0.11369019422074846)	(5.0, 0.07895152376440866)	(6.0, 0.06947734091267961)	(7.0, 0.08105689773145955)	(8.0, 0.09263645455023949)	(9.0, 0.06631927996210327)	('>10', 1.7727248802568558)	('>50', 1.2600663192799622)	('>100', 3.5465024474972364)	('>500', 2.5685562398020947)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.4110216327175)
NGS069-24-18S-1_S1_L001_R2_001	(1.0, 5.828727827780409)	(2.0, 1.4948155166061372)	(3.0, 0.8337280909521554)	(4.0, 0.48002526448760463)	(5.0, 0.4052844886572977)	(6.0, 0.3852834359703142)	(7.0, 0.27264592873309124)	(8.0, 0.2526448760461077)	(9.0, 0.3221222169587873)	('>10', 4.8455181851676405)	('>50', 2.2727511974314436)	('>100', 9.84157060897942)	('>500', 8.427811990104743)	('>1k', 30.583714932364863)	('>5k', 0.0)	('>10k+', 33.753355439759986)
NGS069-24-18S-2_S7_L001_R1_001	(1.0, 0.4956989122485228)	(2.0, 0.24378635028615872)	(3.0, 0.12885849943696961)	(4.0, 0.19038553069966682)	(5.0, 0.10447986440835373)	(6.0, 0.10447986440835373)	(7.0, 0.14627181017169524)	(8.0, 0.07429679246816266)	(9.0, 0.031343959322506124)	('>10', 1.9572561265831603)	('>50', 1.2026793280783832)	('>100', 3.945856212488826)	('>500', 0.0)	('>1k', 1.4929011736571436)	('>5k', 0.0)	('>10k+', 89.8817055757421)
NGS069-24-18S-2_S7_L001_R2_001	(1.0, 5.227475882564633)	(2.0, 1.256080147664875)	(3.0, 0.7766336587687628)	(4.0, 0.5386517453941794)	(5.0, 0.45274607910286624)	(6.0, 0.4248847819273052)	(7.0, 0.35755331375303284)	(8.0, 0.2879000708141303)	(9.0, 0.2611996610208844)	('>10', 4.613366457319976)	('>50', 2.123263022254211)	('>100', 9.05376069467501)	('>500', 6.853879105188006)	('>1k', 23.077280273040714)	('>5k', 16.890911412683856)	('>10k+', 27.804413693827563)
NGS069-24-18S-3_S12_L001_R1_001	(1.0, 0.6230529595015576)	(2.0, 0.21841339908726193)	(3.0, 0.15863710038969547)	(4.0, 0.14254348150958146)	(5.0, 0.06897265234334586)	(6.0, 0.11035624374935338)	(7.0, 0.08046809440057018)	(8.0, 0.08276718281201503)	(9.0, 0.04138359140600752)	('>10', 2.0542354956259845)	('>50', 1.0805715533790852)	('>100', 4.9648814245151796)	('>500', 1.1208056005793703)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.252911220701)
NGS069-24-18S-3_S12_L001_R2_001	(1.0, 5.778758722166661)	(2.0, 1.3955466657470312)	(3.0, 0.775942338862641)	(4.0, 0.5425848651009875)	(5.0, 0.3678541458311779)	(6.0, 0.26209607890471426)	(7.0, 0.3621064248025658)	(8.0, 0.23910519479026565)	(9.0, 0.38279822050556955)	('>10', 4.755664379073697)	('>50', 1.8864020415905094)	('>100', 8.565253876837833)	('>500', 9.444655194215494)	('>1k', 24.832453932015955)	('>5k', 8.836546309388329)	('>10k+', 31.57223161016657)
NGS069-24-18S-4_S17_L001_R1_001	(1.0, 0.5362965505405869)	(2.0, 0.20164750300326068)	(3.0, 0.1351467307362279)	(4.0, 0.10725931010811737)	(5.0, 0.13943710314055258)	(6.0, 0.12227561352325382)	(7.0, 0.08258966878325039)	(8.0, 0.06864595846919512)	(9.0, 0.07722670327784452)	('>10', 1.9767890852926036)	('>50', 1.0318345632400892)	('>100', 3.6993736056289688)	('>500', 1.7665608374806934)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 90.05491676677536)
