Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS069-23_18S_35_S89_L001_R1_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 4.0)	(20.0, 20.0)	(21.0, 20.0)	(22.0, 33.0)	(23.0, 66.0)	(24.0, 118.0)	(25.0, 116.0)	(26.0, 169.0)	(27.0, 193.0)	(28.0, 247.0)	(29.0, 293.0)	(30.0, 368.0)	(31.0, 473.0)	(32.0, 698.0)	(33.0, 950.0)	(34.0, 1612.0)	(35.0, 2952.0)	(36.0, 7273.0)	(37.0, 30199.0)													
NGS069-23_18S_35_S89_L001_R2_001	(11.0, 1.0)	(12.0, 5.0)	(13.0, 36.0)	(14.0, 59.0)	(15.0, 36.0)	(16.0, 71.0)	(17.0, 153.0)	(18.0, 218.0)	(19.0, 262.0)	(20.0, 299.0)	(21.0, 358.0)	(22.0, 397.0)	(23.0, 407.0)	(24.0, 466.0)	(25.0, 494.0)	(26.0, 554.0)	(27.0, 660.0)	(28.0, 842.0)	(29.0, 992.0)	(30.0, 1293.0)	(31.0, 1880.0)	(32.0, 2791.0)	(33.0, 4768.0)	(34.0, 8351.0)	(35.0, 12797.0)	(36.0, 7550.0)	(37.0, 75.0)									
NGS069-23_18S_36_S94_L001_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 10.0)	(20.0, 22.0)	(21.0, 32.0)	(22.0, 35.0)	(23.0, 69.0)	(24.0, 130.0)	(25.0, 139.0)	(26.0, 163.0)	(27.0, 189.0)	(28.0, 219.0)	(29.0, 265.0)	(30.0, 409.0)	(31.0, 494.0)	(32.0, 635.0)	(33.0, 965.0)	(34.0, 1580.0)	(35.0, 2987.0)	(36.0, 7819.0)	(37.0, 27553.0)												
NGS069-23_18S_36_S94_L001_R2_001	(11.0, 1.0)	(12.0, 10.0)	(13.0, 50.0)	(14.0, 52.0)	(15.0, 42.0)	(16.0, 73.0)	(17.0, 117.0)	(18.0, 162.0)	(19.0, 253.0)	(20.0, 290.0)	(21.0, 294.0)	(22.0, 308.0)	(23.0, 380.0)	(24.0, 404.0)	(25.0, 478.0)	(26.0, 519.0)	(27.0, 581.0)	(28.0, 788.0)	(29.0, 948.0)	(30.0, 1190.0)	(31.0, 1911.0)	(32.0, 2970.0)	(33.0, 5148.0)	(34.0, 8629.0)	(35.0, 11635.0)	(36.0, 6371.0)	(37.0, 117.0)									
NGS069-24-18S-1_S1_L001_R1_001	(2.0, 605.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 10.0)	(20.0, 23.0)	(21.0, 44.0)	(22.0, 96.0)	(23.0, 325.0)	(24.0, 587.0)	(25.0, 570.0)	(26.0, 696.0)	(27.0, 740.0)	(28.0, 859.0)	(29.0, 1110.0)	(30.0, 1478.0)	(31.0, 1965.0)	(32.0, 2846.0)	(33.0, 4295.0)	(34.0, 6846.0)	(35.0, 12040.0)	(36.0, 24762.0)	(37.0, 35089.0)
NGS069-24-18S-1_S1_L001_R2_001	(2.0, 614.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 13.0)	(13.0, 104.0)	(14.0, 123.0)	(15.0, 84.0)	(16.0, 153.0)	(17.0, 279.0)	(18.0, 583.0)	(19.0, 754.0)	(20.0, 810.0)	(21.0, 864.0)	(22.0, 925.0)	(23.0, 959.0)	(24.0, 1051.0)	(25.0, 1158.0)	(26.0, 1368.0)	(27.0, 1739.0)	(28.0, 2128.0)	(29.0, 2819.0)	(30.0, 3823.0)	(31.0, 5467.0)	(32.0, 7818.0)	(33.0, 11045.0)	(34.0, 15182.0)	(35.0, 18613.0)	(36.0, 15029.0)	(37.0, 1489.0)
NGS069-24-18S-2_S7_L001_R1_001	(2.0, 107.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 20.0)	(21.0, 29.0)	(22.0, 89.0)	(23.0, 304.0)	(24.0, 518.0)	(25.0, 596.0)	(26.0, 663.0)	(27.0, 666.0)	(28.0, 821.0)	(29.0, 1001.0)	(30.0, 1359.0)	(31.0, 1783.0)	(32.0, 2453.0)	(33.0, 3886.0)	(34.0, 6225.0)	(35.0, 10881.0)	(36.0, 22502.0)	(37.0, 32229.0)
NGS069-24-18S-2_S7_L001_R2_001	(2.0, 111.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 17.0)	(13.0, 85.0)	(14.0, 119.0)	(15.0, 93.0)	(16.0, 111.0)	(17.0, 218.0)	(18.0, 426.0)	(19.0, 615.0)	(20.0, 662.0)	(21.0, 646.0)	(22.0, 610.0)	(23.0, 719.0)	(24.0, 861.0)	(25.0, 907.0)	(26.0, 1075.0)	(27.0, 1343.0)	(28.0, 1682.0)	(29.0, 2121.0)	(30.0, 2895.0)	(31.0, 4187.0)	(32.0, 6179.0)	(33.0, 9224.0)	(34.0, 13737.0)	(35.0, 18549.0)	(36.0, 17030.0)	(37.0, 1918.0)
NGS069-24-18S-3_S12_L001_R1_001	(2.0, 174.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 12.0)	(18.0, 16.0)	(19.0, 11.0)	(20.0, 18.0)	(21.0, 34.0)	(22.0, 76.0)	(23.0, 278.0)	(24.0, 441.0)	(25.0, 542.0)	(26.0, 568.0)	(27.0, 640.0)	(28.0, 824.0)	(29.0, 1024.0)	(30.0, 1360.0)	(31.0, 1765.0)	(32.0, 2554.0)	(33.0, 3648.0)	(34.0, 5707.0)	(35.0, 10079.0)	(36.0, 21314.0)	(37.0, 35898.0)
NGS069-24-18S-3_S12_L001_R2_001	(2.0, 175.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 24.0)	(13.0, 93.0)	(14.0, 125.0)	(15.0, 73.0)	(16.0, 108.0)	(17.0, 255.0)	(18.0, 501.0)	(19.0, 638.0)	(20.0, 758.0)	(21.0, 773.0)	(22.0, 739.0)	(23.0, 843.0)	(24.0, 937.0)	(25.0, 1047.0)	(26.0, 1239.0)	(27.0, 1565.0)	(28.0, 2017.0)	(29.0, 2571.0)	(30.0, 3550.0)	(31.0, 4972.0)	(32.0, 7019.0)	(33.0, 10044.0)	(34.0, 13912.0)	(35.0, 17536.0)	(36.0, 14124.0)	(37.0, 1351.0)
